Country,Population (millions),Total Ecological Footprint,Total Biocapacity
Ghana,25.37,1.97,1.35
Greece,11.12,4.38,1.61
Grenada,0.1,2.98,1.96
Guadeloupe,0.46,3.23,0.45
Guatemala,15.08,1.89,0.99
Guinea,11.45,1.41,2.09
Guinea-Bissau,1.66,1.53,3.03
Guyana,0.8,3.07,66.58
Haiti,10.17,0.61,0.27
Honduras,7.94,1.68,1.77
Hungary,9.98,2.92,2.17
India,1236.69,1.16,0.45
Indonesia,246.86,1.58,1.26
Iran,Middle East/Central Asia,0.12,0.09
Iraq,32.78,1.88,0.29
Ireland,4.58,5.57,3.73
Israel,7.64,6.22,0.35
Italy,60.92,4.61,1.08
Jamaica,2.77,1.89,0.43
Japan,127.25,5.02,0.72
Jordan,7.01,2.1,0.21
Kazakhstan,16.27,5.55,3.41
Kenya,43.18,1.03,0.51
Korea,Asia-Pacific,0.02,0.06
Korea,Asia-Pacific,0.41,0.06
Kuwait,3.25,8.13,0.55
Kyrgyzstan,5.47,1.91,1.3
Lao People's Democratic Republic,6.65,1.22,1.62
Latvia,2.06,6.29,9.55
Lebanon,4.65,3.84,0.33
Lesotho,2.05,1.66,0.78
Liberia,4.19,1.21,2.57
Libyan Arab Jamahiriya,6.16,3.69,0.7
Lithuania,3.03,5.83,5.67
Luxembourg,0.52,15.82,1.68
Macedonia TFYR,2.11,3.26,1.51
Madagascar,22.29,0.99,2.63
Malawi,15.91,0.81,0.66
Malaysia,29.24,3.71,2.41
Mali,14.85,1.53,1.58
Martinique,0.4,2.08,0.39
Mauritania,3.8,2.54,4.48
Mauritius,1.24,3.46,0.71
Mexico,120.85,2.89,1.27
Moldova,3.51,1.78,0.8
Mongolia,2.8,6.08,15.66
Montenegro,0.62,3.78,3.24
Montserrat,0,7.78,1.36
Morocco,32.52,1.68,0.71
Mozambique,25.2,0.87,2.06
Myanmar,52.8,1.43,1.84
Namibia,2.26,2.48,6.88
Nauru,0.01,2.94,0.19
Nepal,27.47,0.98,0.59
Netherlands,16.71,5.28,1.17
New Caledonia,0.25,3.58,7.67
New Zealand,4.46,5.6,10.14
Nicaragua,5.99,1.39,2.25
Niger,17.16,1.56,1.24
Nigeria,168.83,1.16,0.7
Norway,4.99,4.98,8.18
Oman,3.31,7.52,1.92
Pakistan,179.16,0.79,0.35
Panama,3.8,2.79,2.94
Papua New Guinea,7.17,1.91,3.92
Paraguay,6.69,4.16,10.52
Peru,29.99,2.28,3.97
Philippines,96.71,1.1,0.54
Poland,38.21,4.44,2.08
Portugal,10.6,3.88,1.51
Qatar,2.05,10.8,1.24
Reunion,0.86,3.65,0.18
Romania,21.76,2.71,2.32
Russian Federation,143.17,5.69,6.79
Rwanda,11.46,0.87,0.54
Saint Kitts and Nevis,0.05,4.94,0.62
Saint Lucia,0.18,2.45,0.34
Saint Vincent and Grenadines,0.11,3.11,1.26
Samoa,0.19,2.77,1.93
Sao Tome and Principe,0.19,1.49,0.87
Saudi Arabia,28.29,5.61,0.5
Senegal,13.73,1.21,1.05
Serbia,9.55,2.7,1.25
Sierra Leone,5.98,1.24,1.24
Singapore,5.3,7.97,0.05
Slovakia,5.45,4.06,2.71
Slovenia,2.07,5.81,2.35
Solomon Islands,0.55,1.29,4.36
Somalia,10.2,1.24,1.27
South Africa,52.39,3.31,1.15
Spain,46.76,3.67,1.25
Sri Lanka,21.1,1.32,0.44
Suriname,0.54,4.25,89.33
Swaziland,1.23,2.01,0.88
Sweden,9.51,7.25,10.62
Switzerland,8,5.79,1.3
Syrian Arab Republic,21.89,1.51,0.6
Tajikistan,8.01,0.91,0.53
Tanzania,Africa,0.09,0.06
Thailand,66.78,2.66,1.24
Timor-Leste,1.11,0.48,1.78
Togo,6.64,1.13,0.53
Tonga,0.1,2.7,1.48
Trinidad and Tobago,1.34,7.92,1.56
Tunisia,10.88,2.34,0.93
Turkey,74,3.33,1.52
Turkmenistan,5.17,5.47,2.79
Uganda,36.35,1.24,0.59
Ukraine,45.53,2.84,2.27
United Kingdom,63.03,4.94,1.32
United Arab Emirates,9.206,7.93,0.56
United States of America,317.5,8.22,3.76
Uruguay,3.4,2.91,10.32
Uzbekistan,28.54,2.32,0.92
Venezuela,Latin America,0.09,0.04
Viet Nam,90.8,1.65,1
Wallis and Futuna Islands,0.01,2.07,1.51
Yemen,23.85,1.03,0.5
Zambia,14.08,0.99,2.23
Zimbabwe,13.72,1.37,0.62
